DATE,TICKER,PRC,Sector
2010-01-04,MSFT,30.95,IT
2010-01-05,MSFT,30.96,IT
2010-01-06,MSFT,30.77,IT
2010-01-07,MSFT,30.452,IT
2010-01-08,MSFT,30.66,IT
2010-01-11,MSFT,30.27,IT
2010-01-12,MSFT,30.07,IT
2010-01-13,MSFT,30.35,IT
2010-01-14,MSFT,30.96,IT
2010-01-15,MSFT,30.86,IT
2010-01-19,MSFT,31.1,IT
2010-01-20,MSFT,30.585,IT
2010-01-21,MSFT,30.01,IT
2010-01-22,MSFT,28.96,IT
2010-01-25,MSFT,29.32,IT
2010-01-26,MSFT,29.5,IT
2010-01-27,MSFT,29.67,IT
2010-01-28,MSFT,29.16,IT
2010-01-29,MSFT,28.18,IT
2010-02-01,MSFT,28.41,IT
2010-02-02,MSFT,28.46,IT
2010-02-03,MSFT,28.63,IT
2010-02-04,MSFT,27.84,IT
2010-02-05,MSFT,28.02,IT
2010-02-08,MSFT,27.72,IT
2010-02-09,MSFT,28.01,IT
2010-02-10,MSFT,27.99,IT
2010-02-11,MSFT,28.12,IT
2010-02-12,MSFT,27.93,IT
2010-02-16,MSFT,28.35,IT
2010-02-17,MSFT,28.59,IT
2010-02-18,MSFT,28.969,IT
2010-02-19,MSFT,28.77,IT
2010-02-22,MSFT,28.73,IT
2010-02-23,MSFT,28.33,IT
2010-02-24,MSFT,28.63,IT
2010-02-25,MSFT,28.6,IT
2010-02-26,MSFT,28.67,IT
2010-03-01,MSFT,29.02,IT
2010-03-02,MSFT,28.46,IT
2010-03-03,MSFT,28.46,IT
2010-03-04,MSFT,28.63,IT
2010-03-05,MSFT,28.5875,IT
2010-03-08,MSFT,28.63,IT
2010-03-09,MSFT,28.8,IT
2010-03-10,MSFT,28.97,IT
2010-03-11,MSFT,29.18,IT
2010-03-12,MSFT,29.27,IT
2010-03-15,MSFT,29.29,IT
2010-03-16,MSFT,29.37,IT
2010-03-17,MSFT,29.63,IT
2010-03-18,MSFT,29.61,IT
2010-03-19,MSFT,29.59,IT
2010-03-22,MSFT,29.6,IT
2010-03-23,MSFT,29.88,IT
2010-03-24,MSFT,29.65,IT
2010-03-25,MSFT,30.01,IT
2010-03-26,MSFT,29.66,IT
2010-03-29,MSFT,29.59,IT
2010-03-30,MSFT,29.77,IT
2010-03-31,MSFT,29.2875,IT
2010-04-01,MSFT,29.16,IT
2010-04-05,MSFT,29.27,IT
2010-04-06,MSFT,29.32,IT
2010-04-07,MSFT,29.35,IT
2010-04-08,MSFT,29.92,IT
2010-04-09,MSFT,30.34,IT
2010-04-12,MSFT,30.32,IT
2010-04-13,MSFT,30.45,IT
2010-04-14,MSFT,30.82,IT
2010-04-15,MSFT,30.87,IT
2010-04-16,MSFT,30.67,IT
2010-04-19,MSFT,31.039,IT
2010-04-20,MSFT,31.36,IT
2010-04-21,MSFT,31.332,IT
2010-04-22,MSFT,31.39,IT
2010-04-23,MSFT,30.96,IT
2010-04-26,MSFT,31.11,IT
2010-04-27,MSFT,30.845,IT
2010-04-28,MSFT,30.91,IT
2010-04-29,MSFT,31.003,IT
2010-04-30,MSFT,30.535,IT
2010-05-03,MSFT,30.86,IT
2010-05-04,MSFT,30.13,IT
2010-05-05,MSFT,29.85,IT
2010-05-06,MSFT,28.98,IT
2010-05-07,MSFT,28.21,IT
2010-05-10,MSFT,28.94,IT
2010-05-11,MSFT,28.88,IT
2010-05-12,MSFT,29.44,IT
2010-05-13,MSFT,29.24,IT
2010-05-14,MSFT,28.93,IT
2010-05-17,MSFT,28.94,IT
2010-05-18,MSFT,28.5975,IT
2010-05-19,MSFT,28.24,IT
2010-05-20,MSFT,27.11,IT
2010-05-21,MSFT,26.84,IT
2010-05-24,MSFT,26.27,IT
2010-05-25,MSFT,26.07,IT
2010-05-26,MSFT,25.01,IT
2010-05-27,MSFT,26,IT
2010-05-28,MSFT,25.8,IT
2010-06-01,MSFT,25.89,IT
2010-06-02,MSFT,26.46,IT
2010-06-03,MSFT,26.86,IT
2010-06-04,MSFT,25.79,IT
2010-06-07,MSFT,25.29,IT
2010-06-08,MSFT,25.11,IT
2010-06-09,MSFT,24.79,IT
2010-06-10,MSFT,25,IT
2010-06-11,MSFT,25.66,IT
2010-06-14,MSFT,25.495,IT
2010-06-15,MSFT,26.5825,IT
2010-06-16,MSFT,26.32,IT
2010-06-17,MSFT,26.37,IT
2010-06-18,MSFT,26.44,IT
2010-06-21,MSFT,25.95,IT
2010-06-22,MSFT,25.77,IT
2010-06-23,MSFT,25.308,IT
2010-06-24,MSFT,25,IT
2010-06-25,MSFT,24.5325,IT
2010-06-28,MSFT,24.31,IT
2010-06-29,MSFT,23.31,IT
2010-06-30,MSFT,23.01,IT
2010-07-01,MSFT,23.16,IT
2010-07-02,MSFT,23.27,IT
2010-07-06,MSFT,23.82,IT
2010-07-07,MSFT,24.3,IT
2010-07-08,MSFT,24.4095,IT
2010-07-09,MSFT,24.27,IT
2010-07-12,MSFT,24.83,IT
2010-07-13,MSFT,25.13,IT
2010-07-14,MSFT,25.44,IT
2010-07-15,MSFT,25.51,IT
2010-07-16,MSFT,24.89,IT
2010-07-19,MSFT,25.23,IT
2010-07-20,MSFT,25.48,IT
2010-07-21,MSFT,25.12,IT
2010-07-22,MSFT,25.84,IT
2010-07-23,MSFT,25.81,IT
2010-07-26,MSFT,26.1,IT
2010-07-27,MSFT,26.16,IT
2010-07-28,MSFT,25.95,IT
2010-07-29,MSFT,26.03,IT
2010-07-30,MSFT,25.81,IT
2010-08-02,MSFT,26.33,IT
2010-08-03,MSFT,26.16,IT
2010-08-04,MSFT,25.73,IT
2010-08-05,MSFT,25.37,IT
2010-08-06,MSFT,25.55,IT
2010-08-09,MSFT,25.61,IT
2010-08-10,MSFT,25.07,IT
2010-08-11,MSFT,24.86,IT
2010-08-12,MSFT,24.49,IT
2010-08-13,MSFT,24.4,IT
2010-08-16,MSFT,24.5,IT
2010-08-17,MSFT,24.71,IT
2010-08-18,MSFT,24.82,IT
2010-08-19,MSFT,24.44,IT
2010-08-20,MSFT,24.23,IT
2010-08-23,MSFT,24.28,IT
2010-08-24,MSFT,24.04,IT
2010-08-25,MSFT,24.1,IT
2010-08-26,MSFT,23.82,IT
2010-08-27,MSFT,23.93,IT
2010-08-30,MSFT,23.64,IT
2010-08-31,MSFT,23.465,IT
2010-09-01,MSFT,23.9,IT
2010-09-02,MSFT,23.94,IT
2010-09-03,MSFT,24.29,IT
2010-09-07,MSFT,23.96,IT
2010-09-08,MSFT,23.93,IT
2010-09-09,MSFT,24.01,IT
2010-09-10,MSFT,23.85,IT
2010-09-13,MSFT,25.11,IT
2010-09-14,MSFT,25.03,IT
2010-09-15,MSFT,25.115,IT
2010-09-16,MSFT,25.33,IT
2010-09-17,MSFT,25.22,IT
2010-09-20,MSFT,25.43,IT
2010-09-21,MSFT,25.15,IT
2010-09-22,MSFT,24.61,IT
2010-09-23,MSFT,24.43,IT
2010-09-24,MSFT,24.775,IT
2010-09-27,MSFT,24.7325,IT
2010-09-28,MSFT,24.6775,IT
2010-09-29,MSFT,24.5,IT
2010-09-30,MSFT,24.49,IT
2010-10-01,MSFT,24.38,IT
2010-10-04,MSFT,23.91,IT
2010-10-05,MSFT,24.35,IT
2010-10-06,MSFT,24.43,IT
2010-10-07,MSFT,24.53,IT
2010-10-08,MSFT,24.57,IT
2010-10-11,MSFT,24.59,IT
2010-10-12,MSFT,24.83,IT
2010-10-13,MSFT,25.34,IT
2010-10-14,MSFT,25.23,IT
2010-10-15,MSFT,25.54,IT
2010-10-18,MSFT,25.82,IT
2010-10-19,MSFT,25.1,IT
2010-10-20,MSFT,25.31,IT
2010-10-21,MSFT,25.42,IT
2010-10-22,MSFT,25.3775,IT
2010-10-25,MSFT,25.19,IT
2010-10-26,MSFT,25.9,IT
2010-10-27,MSFT,26.05,IT
2010-10-28,MSFT,26.28,IT
2010-10-29,MSFT,26.665,IT
2010-11-01,MSFT,26.95,IT
2010-11-02,MSFT,27.39,IT
2010-11-03,MSFT,27.03,IT
2010-11-04,MSFT,27.14,IT
2010-11-05,MSFT,26.85,IT
2010-11-08,MSFT,26.81,IT
2010-11-09,MSFT,26.95,IT
2010-11-10,MSFT,26.94,IT
2010-11-11,MSFT,26.68,IT
2010-11-12,MSFT,26.27,IT
2010-11-15,MSFT,26.2,IT
2010-11-16,MSFT,25.81,IT
2010-11-17,MSFT,25.57,IT
2010-11-18,MSFT,25.8375,IT
2010-11-19,MSFT,25.69,IT
2010-11-22,MSFT,25.73,IT
2010-11-23,MSFT,25.12,IT
2010-11-24,MSFT,25.37,IT
2010-11-26,MSFT,25.34,IT
2010-11-29,MSFT,25.31,IT
2010-11-30,MSFT,25.2575,IT
2010-12-01,MSFT,26.04,IT
2010-12-02,MSFT,26.89,IT
2010-12-03,MSFT,27.02,IT
2010-12-06,MSFT,26.84,IT
2010-12-07,MSFT,26.87,IT
2010-12-08,MSFT,27.23,IT
2010-12-09,MSFT,27.08,IT
2010-12-10,MSFT,27.34,IT
2010-12-13,MSFT,27.245,IT
2010-12-14,MSFT,27.62,IT
2010-12-15,MSFT,27.85,IT
2010-12-16,MSFT,27.9875,IT
2010-12-17,MSFT,27.9025,IT
2010-12-20,MSFT,27.81,IT
2010-12-21,MSFT,28.07,IT
2010-12-22,MSFT,28.1875,IT
2010-12-23,MSFT,28.3,IT
2010-12-27,MSFT,28.07,IT
2010-12-28,MSFT,28.01,IT
2010-12-29,MSFT,27.97,IT
2010-12-30,MSFT,27.85,IT
2010-12-31,MSFT,27.91,IT
2010-01-04,KO,57.04,Consumer
2010-01-05,KO,56.35,Consumer
2010-01-06,KO,56.33,Consumer
2010-01-07,KO,56.19,Consumer
2010-01-08,KO,55.15,Consumer
2010-01-11,KO,56.27,Consumer
2010-01-12,KO,56.88,Consumer
2010-01-13,KO,57.03,Consumer
2010-01-14,KO,57.13,Consumer
2010-01-15,KO,56.29,Consumer
2010-01-19,KO,56.42,Consumer
2010-01-20,KO,55.5,Consumer
2010-01-21,KO,54.37,Consumer
2010-01-22,KO,54.24,Consumer
2010-01-25,KO,54.35,Consumer
2010-01-26,KO,54.14,Consumer
2010-01-27,KO,54.51,Consumer
2010-01-28,KO,54.18,Consumer
2010-01-29,KO,54.25,Consumer
2010-02-01,KO,54.38,Consumer
2010-02-02,KO,55.05,Consumer
2010-02-03,KO,54.87,Consumer
2010-02-04,KO,53.43,Consumer
2010-02-05,KO,53.09,Consumer
2010-02-08,KO,52.65,Consumer
2010-02-09,KO,54.01,Consumer
2010-02-10,KO,53.79,Consumer
2010-02-11,KO,54.22,Consumer
2010-02-12,KO,53.98,Consumer
2010-02-16,KO,54.82,Consumer
2010-02-17,KO,55.33,Consumer
2010-02-18,KO,55.91,Consumer
2010-02-19,KO,55.72,Consumer
2010-02-22,KO,55.38,Consumer
2010-02-23,KO,54.83,Consumer
2010-02-24,KO,55.16,Consumer
2010-02-25,KO,53.12,Consumer
2010-02-26,KO,52.72,Consumer
2010-03-01,KO,53.27,Consumer
2010-03-02,KO,53.3,Consumer
2010-03-03,KO,53.93,Consumer
2010-03-04,KO,54.47,Consumer
2010-03-05,KO,54.7,Consumer
2010-03-08,KO,54.46,Consumer
2010-03-09,KO,54.18,Consumer
2010-03-10,KO,54.2,Consumer
2010-03-11,KO,53.6,Consumer
2010-03-12,KO,53.35,Consumer
2010-03-15,KO,53.65,Consumer
2010-03-16,KO,53.7,Consumer
2010-03-17,KO,53.84,Consumer
2010-03-18,KO,53.95,Consumer
2010-03-19,KO,54.75,Consumer
2010-03-22,KO,54.54,Consumer
2010-03-23,KO,55.3,Consumer
2010-03-24,KO,54.62,Consumer
2010-03-25,KO,54.8,Consumer
2010-03-26,KO,54.65,Consumer
2010-03-29,KO,54.77,Consumer
2010-03-30,KO,54.87,Consumer
2010-03-31,KO,55,Consumer
2010-04-01,KO,55.3,Consumer
2010-04-05,KO,54.86,Consumer
2010-04-06,KO,54.29,Consumer
2010-04-07,KO,53.82,Consumer
2010-04-08,KO,53.76,Consumer
2010-04-09,KO,54.59,Consumer
2010-04-12,KO,54.76,Consumer
2010-04-13,KO,55.02,Consumer
2010-04-14,KO,54.95,Consumer
2010-04-15,KO,54.26,Consumer
2010-04-16,KO,54.97,Consumer
2010-04-19,KO,55.32,Consumer
2010-04-20,KO,54.47,Consumer
2010-04-21,KO,54.19,Consumer
2010-04-22,KO,54.31,Consumer
2010-04-23,KO,53.88,Consumer
2010-04-26,KO,53.73,Consumer
2010-04-27,KO,52.87,Consumer
2010-04-28,KO,53.36,Consumer
2010-04-29,KO,53.74,Consumer
2010-04-30,KO,53.45,Consumer
2010-05-03,KO,53.76,Consumer
2010-05-04,KO,53.18,Consumer
2010-05-05,KO,53.66,Consumer
2010-05-06,KO,52.3,Consumer
2010-05-07,KO,52.67,Consumer
2010-05-10,KO,54.04,Consumer
2010-05-11,KO,53.61,Consumer
2010-05-12,KO,54.02,Consumer
2010-05-13,KO,53.49,Consumer
2010-05-14,KO,53.34,Consumer
2010-05-17,KO,53.41,Consumer
2010-05-18,KO,53.1,Consumer
2010-05-19,KO,53.12,Consumer
2010-05-20,KO,51.54,Consumer
2010-05-21,KO,51.59,Consumer
2010-05-24,KO,51.46,Consumer
2010-05-25,KO,50.62,Consumer
2010-05-26,KO,50.08,Consumer
2010-05-27,KO,51.23,Consumer
2010-05-28,KO,51.4,Consumer
2010-06-01,KO,51.29,Consumer
2010-06-02,KO,52.41,Consumer
2010-06-03,KO,52.75,Consumer
2010-06-04,KO,51.27,Consumer
2010-06-07,KO,50.8,Consumer
2010-06-08,KO,51.56,Consumer
2010-06-09,KO,51.35,Consumer
2010-06-10,KO,52.45,Consumer
2010-06-11,KO,51.65,Consumer
2010-06-14,KO,51.51,Consumer
2010-06-15,KO,52.18,Consumer
2010-06-16,KO,52.4,Consumer
2010-06-17,KO,52.36,Consumer
2010-06-18,KO,52.31,Consumer
2010-06-21,KO,52.48,Consumer
2010-06-22,KO,52.46,Consumer
2010-06-23,KO,52.24,Consumer
2010-06-24,KO,51.8,Consumer
2010-06-25,KO,50.26,Consumer
2010-06-28,KO,51.08,Consumer
2010-06-29,KO,50.33,Consumer
2010-06-30,KO,50.12,Consumer
2010-07-01,KO,50.03,Consumer
2010-07-02,KO,50.05,Consumer
2010-07-06,KO,50.43,Consumer
2010-07-07,KO,51.47,Consumer
2010-07-08,KO,52.42,Consumer
2010-07-09,KO,52.4,Consumer
2010-07-12,KO,52.45,Consumer
2010-07-13,KO,52.72,Consumer
2010-07-14,KO,52.82,Consumer
2010-07-15,KO,52.85,Consumer
2010-07-16,KO,52.37,Consumer
2010-07-19,KO,52.27,Consumer
2010-07-20,KO,53.24,Consumer
2010-07-21,KO,54.08,Consumer
2010-07-22,KO,54.26,Consumer
2010-07-23,KO,54.75,Consumer
2010-07-26,KO,54.94,Consumer
2010-07-27,KO,55.05,Consumer
2010-07-28,KO,54.88,Consumer
2010-07-29,KO,54.99,Consumer
2010-07-30,KO,55.11,Consumer
2010-08-02,KO,56.41,Consumer
2010-08-03,KO,56.38,Consumer
2010-08-04,KO,56.55,Consumer
2010-08-05,KO,56.37,Consumer
2010-08-06,KO,56.75,Consumer
2010-08-09,KO,57.11,Consumer
2010-08-10,KO,56.98,Consumer
2010-08-11,KO,56.04,Consumer
2010-08-12,KO,55.69,Consumer
2010-08-13,KO,55.73,Consumer
2010-08-16,KO,55.88,Consumer
2010-08-17,KO,56.12,Consumer
2010-08-18,KO,55.84,Consumer
2010-08-19,KO,55.28,Consumer
2010-08-20,KO,55.3,Consumer
2010-08-23,KO,55.6,Consumer
2010-08-24,KO,55.66,Consumer
2010-08-25,KO,55.39,Consumer
2010-08-26,KO,55.16,Consumer
2010-08-27,KO,56.16,Consumer
2010-08-30,KO,55.55,Consumer
2010-08-31,KO,55.8825,Consumer
2010-09-01,KO,57.31,Consumer
2010-09-02,KO,57.38,Consumer
2010-09-03,KO,57.56,Consumer
2010-09-07,KO,57.63,Consumer
2010-09-08,KO,57.83,Consumer
2010-09-09,KO,58.29,Consumer
2010-09-10,KO,58.52,Consumer
2010-09-13,KO,58.03,Consumer
2010-09-14,KO,57.59,Consumer
2010-09-15,KO,57.42,Consumer
2010-09-16,KO,57.51,Consumer
2010-09-17,KO,57.56,Consumer
2010-09-20,KO,57.97,Consumer
2010-09-21,KO,58.11,Consumer
2010-09-22,KO,58.23,Consumer
2010-09-23,KO,57.87,Consumer
2010-09-24,KO,58.62,Consumer
2010-09-27,KO,58.6,Consumer
2010-09-28,KO,59.1,Consumer
2010-09-29,KO,58.76,Consumer
2010-09-30,KO,58.52,Consumer
2010-10-01,KO,59.12,Consumer
2010-10-04,KO,58.88,Consumer
2010-10-05,KO,59.66,Consumer
2010-10-06,KO,59.8,Consumer
2010-10-07,KO,59.44,Consumer
2010-10-08,KO,59.41,Consumer
2010-10-11,KO,59.56,Consumer
2010-10-12,KO,59.6,Consumer
2010-10-13,KO,59.94,Consumer
2010-10-14,KO,59.91,Consumer
2010-10-15,KO,59.94,Consumer
2010-10-18,KO,60,Consumer
2010-10-19,KO,60.34,Consumer
2010-10-20,KO,61.15,Consumer
2010-10-21,KO,61.47,Consumer
2010-10-22,KO,61.61,Consumer
2010-10-25,KO,61.01,Consumer
2010-10-26,KO,61.24,Consumer
2010-10-27,KO,61.19,Consumer
2010-10-28,KO,61.21,Consumer
2010-10-29,KO,61.32,Consumer
2010-11-01,KO,61.71,Consumer
2010-11-02,KO,61.86,Consumer
2010-11-03,KO,61.95,Consumer
2010-11-04,KO,62.45,Consumer
2010-11-05,KO,62.58,Consumer
2010-11-08,KO,62.46,Consumer
2010-11-09,KO,62.64,Consumer
2010-11-10,KO,62.55,Consumer
2010-11-11,KO,62.8,Consumer
2010-11-12,KO,62.92,Consumer
2010-11-15,KO,62.96,Consumer
2010-11-16,KO,62.08,Consumer
2010-11-17,KO,62.52,Consumer
2010-11-18,KO,63.84,Consumer
2010-11-19,KO,64.32,Consumer
2010-11-22,KO,64.27,Consumer
2010-11-23,KO,63.62,Consumer
2010-11-24,KO,64.61,Consumer
2010-11-26,KO,64.19,Consumer
2010-11-29,KO,63.39,Consumer
2010-11-30,KO,63.17,Consumer
2010-12-01,KO,64.7,Consumer
2010-12-02,KO,64.9,Consumer
2010-12-03,KO,64.5,Consumer
2010-12-06,KO,63.99,Consumer
2010-12-07,KO,64.14,Consumer
2010-12-08,KO,64.39,Consumer
2010-12-09,KO,64.83,Consumer
2010-12-10,KO,64.65,Consumer
2010-12-13,KO,64.85,Consumer
2010-12-14,KO,63.9,Consumer
2010-12-15,KO,64.74,Consumer
2010-12-16,KO,65.34,Consumer
2010-12-17,KO,65.7,Consumer
2010-12-20,KO,65.31,Consumer
2010-12-21,KO,65.49,Consumer
2010-12-22,KO,65.59,Consumer
2010-12-23,KO,65.58,Consumer
2010-12-27,KO,65.07,Consumer
2010-12-28,KO,65.36,Consumer
2010-12-29,KO,65.45,Consumer
2010-12-30,KO,65.5,Consumer
2010-12-31,KO,65.77,Consumer
2010-01-04,XOM,69.15,Energy
2010-01-05,XOM,69.42,Energy
2010-01-06,XOM,70.02,Energy
2010-01-07,XOM,69.8,Energy
2010-01-08,XOM,69.52,Energy
2010-01-11,XOM,70.3,Energy
2010-01-12,XOM,69.95,Energy
2010-01-13,XOM,69.67,Energy
2010-01-14,XOM,69.68,Energy
2010-01-15,XOM,69.11,Energy
2010-01-19,XOM,69.27,Energy
2010-01-20,XOM,68.03,Energy
2010-01-21,XOM,66.7,Energy
2010-01-22,XOM,66.1,Energy
2010-01-25,XOM,65.85,Energy
2010-01-26,XOM,65.92,Energy
2010-01-27,XOM,65.54,Energy
2010-01-28,XOM,64.96,Energy
2010-01-29,XOM,64.43,Energy
2010-02-01,XOM,66.18,Energy
2010-02-02,XOM,66.96,Energy
2010-02-03,XOM,66.6,Energy
2010-02-04,XOM,64.72,Energy
2010-02-05,XOM,64.8,Energy
2010-02-08,XOM,64.35,Energy
2010-02-09,XOM,65.2,Energy
2010-02-10,XOM,64.85,Energy
2010-02-11,XOM,65.24,Energy
2010-02-12,XOM,64.8,Energy
2010-02-16,XOM,66.28,Energy
2010-02-17,XOM,65.76,Energy
2010-02-18,XOM,65.96,Energy
2010-02-19,XOM,65.87,Energy
2010-02-22,XOM,65.4,Energy
2010-02-23,XOM,64.94,Energy
2010-02-24,XOM,65.55,Energy
2010-02-25,XOM,65.14,Energy
